iter	RMSE
0	368768.7863
1	366045.177
2	362717.0669
3	360289.0026
4	357536.1973
5	354651.5398
6	351928.7957
7	349892.4493
8	347039.351
9	344458.5679
10	342227.4395
11	339751.1952
12	337773.5074
13	336120.0138
14	334384.8391
15	332949.7497
16	330960.6204
17	328289.3024
18	326329.5024
19	324706.0864
20	323441.3353
21	321995.8041
22	320000.4637
23	318707.0613
24	317557.9819
25	315857.5733
26	313941.558
27	312402.5804
28	310917.81
29	309250.1417
30	307753.0348
31	306603.5967
32	305336.0756
33	304636.0038
34	303677.2366
35	302920.4086
36	301641.862
37	300611.5085
38	299639.1969
39	298439.1004
40	297640.0823
41	296377.2247
42	295535.9616
43	294192.2868
44	293047.3135
45	292181.2784
46	291360.9478
47	289926.8603
48	288859.682
49	287750.571
50	286652.2262
51	285666.8548
52	284977.9429
53	284197.836
54	283454.5514
55	282641.2833
56	281992.4805
57	281515.5153
58	280101.2983
59	278989.3823
60	278501.9879
61	277644.6153
62	276834.563
63	275774.9274
64	275359.1592
65	274985.5799
66	274312.8038
67	273554.1356
68	272473.561
69	271761.4226
70	270803.5115
71	269800.4868
72	268947.1396
73	268070.8465
74	267907.5888
75	267709.1748
76	266787.6766
77	266542.8033
78	266413.2256
79	265591.2543
80	264798.157
81	263878.9113
82	263022.8117
83	262518.3033
84	261971.6678
85	261298.0464
86	260584.2205
87	259884.2324
88	259305.623
89	259239.2725
90	258781.2478
91	257977.0175
92	257528.0386
93	256678.4731
94	256177.4688
95	255625.9065
96	254822.0704
97	254066.9747
98	253173.5661
99	252444.5895
