iter	Passed	Remaining
0	1	126
1	5	275
2	10	333
3	13	322
4	16	308
5	17	278
6	18	246
7	21	245
8	24	244
9	25	227
10	25	207
11	26	193
12	26	178
13	29	184
14	30	172
15	33	174
16	34	168
17	37	169
18	39	170
19	42	171
20	43	165
21	45	160
22	47	160
23	50	159
24	50	152
25	53	152
26	55	148
27	56	146
28	59	145
29	62	145
30	64	144
31	67	143
32	70	142
33	70	136
34	71	133
35	72	128
36	75	127
37	75	123
38	75	118
39	77	116
40	80	115
41	82	114
42	85	113
43	88	112
44	91	111
45	91	107
46	94	106
47	96	104
48	98	102
49	101	101
50	104	99
51	106	98
52	107	95
53	108	92
54	110	90
55	111	87
56	113	85
57	114	82
58	116	81
59	119	79
60	120	76
61	121	74
62	123	72
63	126	71
64	127	68
65	127	65
66	129	63
67	132	62
68	134	60
69	137	59
70	138	56
71	141	54
72	143	53
73	146	51
74	146	48
75	147	46
76	149	44
77	150	42
78	150	40
79	153	38
80	156	36
81	157	34
82	159	32
83	160	30
84	161	28
85	163	26
86	166	24
87	169	23
88	172	21
89	173	19
90	175	17
91	178	15
92	181	13
93	184	11
94	187	9
95	190	7
96	194	6
97	197	4
98	199	2
99	203	0
